Pos.,Rider,Bike,Team,QAT,DOH,POR,SPA,FRA,ITA,CAT,GER,NED,STY,AUT,GBR,ARA,RSM,AME,EMI,ALR,VAL,Pts
1,Fabio Quartararo,Yamaha,Monster Energy Yamaha MotoGP,5,1,1,13,3,1,6,3,1,3,7,1,8,2,2,4,23,5,278
2,Francesco Bagnaia,Ducati,Ducati Lenovo Team,3,6,2,2,4,23,7,5,6,11,2,14,1,1,3,23,1,1,252
3,Joan Mir,Suzuki,Team Suzuki Ecstar,4,7,3,5,23,3,4,9,3,2,4,9,3,6,8,23,2,4,208
4,Jack Miller,Ducati,Ducati Lenovo Team,9,9,23,1,1,6,3,6,23,23,11,4,5,5,7,23,3,3,181
5,Johann Zarco,Ducati,Pramac Racing,2,2,23,8,2,4,2,8,4,6,23,11,17,12,23,5,5,6,173
6,Brad Binder,KTM,Red Bull KTM Factory Racing,14,8,5,23,13,5,8,4,12,4,1,6,7,9,9,11,10,7,151
7,Marc Márquez,Honda,Repsol Honda Team,23,23,7,9,23,23,23,1,7,8,15,23,2,4,1,1,23,23,142
8,Aleix Espargaró,Aprilia,Aprilia Racing Team Gresini,7,10,6,6,23,7,23,7,8,23,10,3,4,8,23,7,23,9,120
9,Jorge Martín,Ducati,Pramac Racing,15,3,23,23,23,23,14,12,23,1,3,23,9,23,5,23,7,2,111
10,Maverick Viñales,Yamaha,Monster Energy Yamaha MotoGP,1,5,11,7,10,8,5,19,2,23,23,23,23,23,23,23,23,23,106
10,Maverick Viñales,Aprilia,Aprilia Racing Team Gresini,23,23,23,23,23,23,23,23,23,23,23,23,18,13,23,8,16,16,106
11,Enea Bastianini,Ducati,Avintia Esponsorama,10,11,9,23,14,23,10,16,15,12,23,12,6,3,6,3,9,8,102
12,Pol Espargaró,Honda,Repsol Honda Team,8,13,23,10,8,12,23,10,10,16,16,5,13,7,10,2,6,23,100
13,Álex Rins,Suzuki,Team Suzuki Ecstar,6,4,23,20,23,23,23,11,11,7,14,2,12,23,4,6,8,23,99
14,Miguel Oliveira,KTM,Red Bull KTM Factory Racing,13,15,16,11,23,2,1,2,5,23,23,16,14,20,11,23,23,14,94
15,Takaaki Nakagami,Honda,LCR Honda Idemitsu,23,17,10,4,7,23,13,13,9,5,13,13,10,10,17,15,11,23,76
16,Álex Márquez,Honda,LCR Honda Castrol,23,23,8,23,6,14,11,23,14,9,9,8,23,15,12,23,4,13,70
17,Franco Morbidelli,Yamaha,Petronas Yamaha SRT,18,12,4,3,16,16,9,18,23,23,23,23,23,23,23,23,23,23,47
17,Franco Morbidelli,Yamaha,Monster Energy Yamaha MotoGP,23,23,23,23,23,23,23,23,23,23,23,23,23,18,19,14,17,11,47
18,Valentino Rossi,Yamaha,Petronas Yamaha SRT,12,16,23,16,11,10,23,14,23,13,8,18,19,17,15,10,13,10,44
19,Luca Marini,Ducati,Sky VR46 Avintia,16,18,12,15,12,17,12,15,18,14,5,15,20,19,14,9,12,17,41
20,Iker Lecuona,KTM,Tech3 KTM Factory Racing,17,23,15,17,9,11,23,17,23,15,6,7,11,23,16,23,23,15,39
21,Danilo Petrucci,KTM,Tech3 KTM Factory Racing,23,19,13,14,5,9,23,23,13,18,12,10,15,16,18,23,23,18,37
22,Stefan Bradl,Honda,Repsol Honda Team,11,14,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,23,14
22,Stefan Bradl,Honda,Honda HRC,23,23,23,12,23,23,23,23,23,23,23,23,23,14,23,23,23,23,14
23,Michele Pirro,Ducati,Pramac Racing,23,23,23,23,23,13,23,23,23,23,23,23,23,23,23,23,23,23,12
23,Michele Pirro,Ducati,Ducati Lenovo Team,23,23,23,23,23,23,23,23,23,23,23,23,23,11,23,12,23,23,12
24,Andrea Dovizioso,Yamaha,Petronas Yamaha SRT,23,23,23,23,23,23,23,23,23,23,23,23,23,21,13,13,14,12,12
25,Dani Pedrosa,KTM,Red Bull KTM Factory Racing,23,23,23,23,23,23,23,23,23,10,23,23,23,23,23,23,23,23,6
26,Lorenzo Savadori,Aprilia,Aprilia Racing Team Gresini,19,20,14,19,23,15,15,23,16,23,23,23,23,23,23,23,23,23,4
27,Tito Rabat,Ducati,Pramac Racing,23,23,23,18,15,23,23,23,23,23,23,23,23,23,23,23,23,23,1
28,Cal Crutchlow,Yamaha,Petronas Yamaha SRT,23,23,23,23,23,23,23,23,23,17,17,23,23,23,23,23,23,23,0
28,Cal Crutchlow,Yamaha,Monster Energy Yamaha MotoGP,23,23,23,23,23,23,23,23,23,23,23,17,16,23,23,23,23,23,0
29,Garrett Gerloff,Yamaha,Petronas Yamaha SRT,23,23,23,23,23,23,23,23,17,23,23,23,23,23,23,23,23,23,0
30,Jake Dixon,Yamaha,Petronas Yamaha SRT,23,23,23,23,23,23,23,23,23,23,23,19,23,23,23,23,23,23,0
Pos.,Rider,Bike,Team,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
