Track,Fabio Quartararo,Francesco Bagnaia,Aleix Espargaró,Enea Bastianini,Jack Miller,Brad Binder,Johann Zarco,Jorge Martín,Maverick Viñales,Álex Rins,Miguel Oliveira,Luca Marini,Marco Bezzecchi,Joan Mir,Marc Márquez,Pol Espargaró,Takaaki Nakagami,Álex Márquez,Franco Morbidelli,Fabio Di Giannantonio,Andrea Dovizioso,Darryn Binder,Remy Gardner,Raúl Fernández,Cal Crutchlow,Michele Pirro,Lorenzo Savadori,Kazuki Watanabe,Takuya Tsuda,Tetsuta Nagashima
QAT,7,0,13,25,0,20,8,0,4,9,0,3,0,10,11,16,6,0,5,0,2,0,1,0,0,0,0,0,0,0
INA,27,1,20,30,13,28,24,0,4,20,25,5,0,20,11,20,6,3,14,0,2,6,1,0,0,0,0,0,0,0
ARG,35,12,45,36,15,38,24,20,13,36,28,10,7,33,11,20,10,4,14,0,2,6,1,0,0,0,0,0,0,0
AME,44,23,50,61,31,42,31,28,19,56,28,10,7,46,21,23,12,4,14,0,3,6,1,0,0,0,0,0,0,0
POR,69,31,66,61,31,42,51,28,25,69,39,14,8,46,31,30,12,13,17,0,8,6,3,0,0,0,0,0,0,0
SPA,89,56,82,69,42,48,51,28,27,69,43,14,15,56,44,35,21,16,18,0,8,6,3,0,0,0,0,0,0,0
FRA,102,56,98,94,62,56,62,28,33,69,43,21,19,56,54,40,30,18,19,3,8,6,3,0,0,0,0,0,0,0
ITA,122,81,114,94,63,65,75,31,37,69,50,31,30,56,60,40,38,20,19,8,8,6,3,0,0,0,0,0,0,0
CAT,147,81,125,94,65,73,91,51,46,69,57,41,30,69,60,40,38,26,22,8,8,10,8,1,0,0,0,0,0,0
GER,172,81,138,100,81,82,111,61,46,69,64,52,35,69,60,40,38,26,25,16,10,10,9,5,0,0,0,0,0,0
NED,172,106,151,105,91,93,114,70,62,75,71,52,55,77,60,40,42,27,25,18,10,10,9,5,0,0,0,0,0,0
GBR,180,131,158,118,107,98,114,81,82,84,81,56,61,77,60,42,45,27,26,18,10,10,9,5,0,0,0,0,0,0
AUT,200,156,168,118,123,107,125,87,85,92,85,69,68,77,60,42,45,29,26,23,11,10,9,5,0,0,0,0,0,0
RSM,211,181,178,138,123,115,125,94,101,101,90,82,68,77,60,42,46,35,26,23,15,10,9,8,0,0,0,0,0,0
ARA,211,201,194,163,134,128,133,104,104,108,95,91,74,77,60,43,46,39,26,23,15,10,9,8,2,0,0,0,0,0
JPN,219,201,194,170,159,148,138,120,113,108,106,101,80,77,73,47,46,42,28,23,15,10,9,8,3,0,0,0,0,0
THA,219,201,194,170,159,148,138,120,113,108,106,101,80,77,73,47,46,42,28,23,15,10,9,8,3,0,0,0,0,0
AUS,219,201,194,170,159,148,138,120,113,108,106,101,80,77,73,47,46,42,28,23,15,10,9,8,3,0,0,0,0,0
MAL,219,201,194,170,159,148,138,120,113,108,106,101,80,77,73,47,46,42,28,23,15,10,9,8,3,0,0,0,0,0
VAL,219,201,194,170,159,148,138,120,113,108,106,101,80,77,73,47,46,42,28,23,15,10,9,8,3,0,0,0,0,0
